"","Channel Label","Well Label","Plate","Date","Cell Line","Diff Name","Experiment","Drug","Dose Label","Channel ID","Well ID","Compound ID","Compound Name","Dose [pM]","T Detection Timestamp [µs]","Manually Changed","Mean Slope [V/s]","Mean RR Interval [µs]","RR Interval CV","Mean Peak-to-Peak Amplitude [pV]","Active Channel","Max-Min difference [pV]","Mean Conduction Velocity [cm/s]","Differentiation Method","Culture Age","Dissociation Enzyme","Timepoint.x","Project","Expanded","Medium","MEA Type","Date of plating","Timepoint.y","FourScore","cFPD","FPD","RR","norm_cFPD","norm_FPD","norm_RR","norm_cond_vel","norm_PtPA","Variant","Disease"
"1",12,"D6",7541,20251014,"WTC-11","2024_DIFF19_CA","20251014_ETOH_20251014_Plate_7541_CARIPLO_001_10min","ETOH","1 µM",164,23,"ETOH","ETOH",1e+06,404425,TRUE,-26.324,1903448.387,0.025,4735093135.238,TRUE,NA,NA,"Stanford_Expanded","D11+15","Tryple",10,"CARIPLO","Yes","RBK1","MWMEA24",20250924,10,3,293.134841887832,404.425,1.903448387,1.04420153291208,0.953891040488332,0.834504891085998,NA,1.07179836226044,"WT","Healthy"
"2",12,"D6",7541,20251014,"WTC-11","2024_DIFF19_CA","20251014_ETOH_20251014_Plate_7541_CARIPLO_001_10min","ETOH","Control",164,23,"ETOH","ETOH",0,423974,TRUE,-23.892,2280931.373,0.011,4417895475.462,TRUE,NA,NA,"Stanford_Expanded","D11+15","Tryple",10,"CARIPLO","Yes","RBK1","MWMEA24",20250924,10,3,280.726308713927,423.974,2.280931373,1.00308514917075,1.00308514917075,1,NA,1,"WT","Healthy"
"3",12,"D6",7541,20251014,"WTC-11","2024_DIFF19_CA","20251014_ETOH_20251014_Plate_7541_CARIPLO_001_1min","ETOH","1 µM",164,23,"ETOH","ETOH",1e+06,435703,TRUE,-21.125,3164364.865,0.071,4033749324.316,TRUE,NA,NA,"Stanford_Expanded","D11+15","Tryple",1,"CARIPLO","Yes","RBK1","MWMEA24",20250924,1,3,244.932983924454,435.703,3.164364865,0.872497433698141,1.02766443225292,1.38731261381094,NA,0.913047704890341,"WT","Healthy"
"4",12,"D6",7541,20251014,"WTC-11","2024_DIFF19_CA","20251014_ETOH_20251014_Plate_7541_CARIPLO_001_1min","ETOH","Control",164,23,"ETOH","ETOH",0,422670,TRUE,-23.892,2280931.373,0.011,4417895475.462,TRUE,NA,NA,"Stanford_Expanded","D11+15","Tryple",1,"CARIPLO","Yes","RBK1","MWMEA24",20250924,1,3,279.862889951072,422.67,2.280931373,1,1,1,NA,1,"WT","Healthy"
"5",13,"B5",7541,20251014,"WTC-11","2024_DIFF19_CA","20251014_NIFE_20251014_Plate_7541_CARIPLO_001_10min","NIFE","1 µM",110,10,"NIFE","Nifedipine",1e+06,262374,TRUE,-7.051,1079798.182,0.027,1447331176.649,TRUE,NA,42.475,"Stanford_Expanded","D11+15","Tryple",10,"CARIPLO","Yes","RBK1","MWMEA24",20250924,10,3,252.493091821164,262.374,1.079798182,0.988175642939244,0.675177560473495,0.466839623587762,0.99046264341013,0.881476590479754,"WT","Healthy"
"6",13,"B5",7541,20251014,"WTC-11","2024_DIFF19_CA","20251014_NIFE_20251014_Plate_7541_CARIPLO_001_10min","NIFE","Control",110,10,"NIFE","Nifedipine",0,388600,FALSE,-8.547,2312996,0.015,1641939436.941,TRUE,NA,42.884,"Stanford_Expanded","D11+15","Tryple",10,"CARIPLO","Yes","RBK1","MWMEA24",20250924,10,3,255.514385145281,388.6,2.312996,1,1,1,1,1,"WT","Healthy"
"7",13,"B5",7541,20251014,"WTC-11","2024_DIFF19_CA","20251014_NIFE_20251014_Plate_7541_CARIPLO_001_1min","NIFE","1 µM",110,10,"NIFE","Nifedipine",1e+06,274700,FALSE,-7.556,1523551.948,0.183,1565101700,TRUE,NA,41.075,"Stanford_Expanded","D11+15","Tryple",1,"CARIPLO","Yes","RBK1","MWMEA24",20250924,1,2,222.551243903894,274.7,1.523551948,0.870993011909506,0.706896551724138,0.658691994279281,0.957816435034045,0.953203062663412,"WT","Healthy"
"8",13,"B5",7541,20251014,"WTC-11","2024_DIFF19_CA","20251014_NIFE_20251014_Plate_7541_CARIPLO_001_1min","NIFE","Control",110,10,"NIFE","Nifedipine",0,388600,FALSE,-8.547,2312996,0.015,1641939436.941,TRUE,NA,42.884,"Stanford_Expanded","D11+15","Tryple",1,"CARIPLO","Yes","RBK1","MWMEA24",20250924,1,3,255.514385145281,388.6,2.312996,1,1,1,1,1,"WT","Healthy"
"9",21,"D2",7541,20251014,"WTC-11","2024_DIFF19_CA","20251014_RBK_20251014_Plate_7541_CARIPLO_001_10min","RBK","1 pM",262,19,"RBK","RBK",0,404600,FALSE,-17.928,1838453.125,0.013,3281555990.031,TRUE,NA,44.566,"Stanford_Expanded","D11+15","Tryple",10,"CARIPLO","Yes","RBK1","MWMEA24",20250924,10,3,298.400535285686,404.6,1.838453125,1.02969340153936,0.939837398373984,0.833085519757114,0.953609791586425,1.07579205217533,"WT","Healthy"
"10",21,"D2",7541,20251014,"WTC-11","2024_DIFF19_CA","20251014_RBK_20251014_Plate_7541_CARIPLO_001_10min","RBK","Control",262,19,"RBK","RBK",0,430500,FALSE,-16.03,2206800,0.01,3050362738.222,TRUE,NA,46.734,"Stanford_Expanded","D11+15","Tryple",10,"CARIPLO","Yes","RBK1","MWMEA24",20250924,10,3,289.795520530274,430.5,2.2068,1,1,1,1,1,"WT","Healthy"
