"","Date","Experiment","Cell Number","File Name","Folder","Cell Line","Condition","Frequency","Good?","Condition 3","variable","value","unique_id_cell"
"1",2021-02-18,"20210218",2,"21218009","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","Ediast (mV)",-57.3832370205362,"20210218 Cell_ 2 _ HDF29c7"
"2",2021-02-18,"20210218",2,"21218009","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","APA (mV)",109.578669111699,"20210218 Cell_ 2 _ HDF29c7"
"3",2021-02-18,"20210218",2,"21218009","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","dV/dt max y (V/s)",132.476800348314,"20210218 Cell_ 2 _ HDF29c7"
"4",2021-02-18,"20210218",2,"21218009","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","APD 90 (ms)",196.32,"20210218 Cell_ 2 _ HDF29c7"
"5",2021-02-18,"20210218",2,"21218010","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","Ediast (mV)",-62.7362641100311,"20210218 Cell_ 2 _ HDF29c7"
"6",2021-02-18,"20210218",2,"21218010","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","APA (mV)",112.847345714257,"20210218 Cell_ 2 _ HDF29c7"
"7",2021-02-18,"20210218",2,"21218010","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","dV/dt max y (V/s)",132.98034036346,"20210218 Cell_ 2 _ HDF29c7"
"8",2021-02-18,"20210218",2,"21218010","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","APD 90 (ms)",170.72,"20210218 Cell_ 2 _ HDF29c7"
"9",2021-02-18,"20210218",2,"21218011","HDF29c7_Expanded.Maturated_Tyr_2Hz","LQT1_R190W","Expanded.Maturated","2Hz","Yes","Tyr","Ediast (mV)",-73.5871547079227,"20210218 Cell_ 2 _ HDF29c7"
"10",2021-02-18,"20210218",2,"21218011","HDF29c7_Expanded.Maturated_Tyr_2Hz","LQT1_R190W","Expanded.Maturated","2Hz","Yes","Tyr","APA (mV)",124.088250942062,"20210218 Cell_ 2 _ HDF29c7"
"11",2021-02-18,"20210218",2,"21218011","HDF29c7_Expanded.Maturated_Tyr_2Hz","LQT1_R190W","Expanded.Maturated","2Hz","Yes","Tyr","dV/dt max y (V/s)",167.416373884086,"20210218 Cell_ 2 _ HDF29c7"
"12",2021-02-18,"20210218",2,"21218011","HDF29c7_Expanded.Maturated_Tyr_2Hz","LQT1_R190W","Expanded.Maturated","2Hz","Yes","Tyr","APD 90 (ms)",173.72,"20210218 Cell_ 2 _ HDF29c7"
"13",2021-02-18,"20210218",2,"21218012","HDF29c7_Expanded.Maturated_Tyr_3.33Hz","LQT1_R190W","Expanded.Maturated","3.33Hz","Yes","Tyr","Ediast (mV)",-85.1633260330841,"20210218 Cell_ 2 _ HDF29c7"
"14",2021-02-18,"20210218",2,"21218012","HDF29c7_Expanded.Maturated_Tyr_3.33Hz","LQT1_R190W","Expanded.Maturated","3.33Hz","Yes","Tyr","APA (mV)",135.315301190056,"20210218 Cell_ 2 _ HDF29c7"
"15",2021-02-18,"20210218",2,"21218012","HDF29c7_Expanded.Maturated_Tyr_3.33Hz","LQT1_R190W","Expanded.Maturated","3.33Hz","Yes","Tyr","dV/dt max y (V/s)",169.580070070378,"20210218 Cell_ 2 _ HDF29c7"
"16",2021-02-18,"20210218",2,"21218012","HDF29c7_Expanded.Maturated_Tyr_3.33Hz","LQT1_R190W","Expanded.Maturated","3.33Hz","Yes","Tyr","APD 90 (ms)",200.08,"20210218 Cell_ 2 _ HDF29c7"
