"Disease","Variant","Cardiac Events","Count","Percentage"
"LQT1","variant1","Yes",0,0
"LQT1","variant2","Yes",0,0
"LQT1","variant3","Yes",0,0
"LQT1","variant4","Yes",0,0
"LQT1","variant5","Yes",0,0
"LQT1","variant6","Yes",0,0
"LQT1","variant7","Yes",0,0
"LQT1","variant8","Yes",0,0
"LQT1","variant9","Yes",0,0
"LQT1","variant10","Yes",0,0
"LQT1","variant11","Yes",0,0
"LQT1","variant12","Yes",0,0
"LQT1","variant13","Yes",0,0
"LQT1","variant14","Yes",0,0
"LQT1","variant15","Yes",0,0
"LQT1","variant16","Yes",0,0
"LQT1","variant17","Yes",0,0
"LQT1","variant18","Yes",0,0
"LQT1","variant19","Yes",0,0
"LQT1","variant20","Yes",0,0
"LQT1","variant21","Yes",0,0
"LQT1","variant22","Yes",0,0
"LQT1","variant23","Yes",0,0
"LQT1","variant24","Yes",0,0
"LQT1","variant25","Yes",0,0
"LQT1","variant26","Yes",0,0
"LQT1","variant27","Yes",0,0
"LQT1","variant28","Yes",0,0
"LQT1","variant29","Yes",0,0
"LQT1","variant30","Yes",0,0
"LQT1","variant31","Yes",0,0
"LQT1","variant32","Yes",0,0
"LQT1","variant33","Yes",0,0
"LQT1","variant34","Yes",0,0
"LQT1","variant35","Yes",0,0
"LQT1","variant36","Yes",0,0
"LQT1","variant37","Yes",0,0
"LQT1","variant38","Yes",0,0
"LQT1","variant39","Yes",0,0
"LQT1","variant40","Yes",0,0
"LQT1","variant41","Yes",0,0
"LQT1","variant42","Yes",0,0
"LQT1","variant43","Yes",0,0
"LQT1","variant44","Yes",0,0
"LQT1","variant45","Yes",0,0
"LQT1","variant46","Yes",0,0
"LQT1","variant47","Yes",0,0
"LQT1","variant48","Yes",0,0
"LQT1","variant49","Yes",0,0
"LQT1","variant50","Yes",0,0
"LQT1","variant51","Yes",0,0
"LQT1","variant52","Yes",0,0
"LQT1","variant53","Yes",0,0
"LQT1","variant54","Yes",0,0
"LQT1","variant55","Yes",0,0
"LQT1","variant56","Yes",0,0
"LQT1","variant57","Yes",0,0
"LQT1","variant58","Yes",0,0
"LQT1","variant59","Yes",0,0
"LQT1","variant60","Yes",0,0
"LQT1","variant61","Yes",0,0
"LQT1","variant62","Yes",0,0
"LQT1","variant63","Yes",0,0
"LQT1","variant64","Yes",0,0
"LQT1","variant65","Yes",0,0
"LQT1","variant66","Yes",0,0
"LQT1","variant67","Yes",0,0
"LQT1","variant68","Yes",0,0
"LQT1","variant69","Yes",0,0
"LQT2","variant70","Yes",0,0
"LQT2","variant71","Yes",0,0
"LQT2","variant72","Yes",0,0
"LQT2","variant73","Yes",0,0
"LQT2","variant74","Yes",0,0
"LQT2","variant75","Yes",0,0
"LQT2","variant76","Yes",0,0
"LQT2","variant77","Yes",0,0
"LQT2","variant78","Yes",0,0
"LQT2","variant79","Yes",0,0
"LQT2","variant80","Yes",0,0
"LQT2","variant81","Yes",0,0
"LQT2","variant82","Yes",0,0
"LQT2","variant83","Yes",0,0
"LQT2","variant84","Yes",0,0
"LQT2","variant85","Yes",0,0
"LQT2","variant86","Yes",0,0
"LQT2","variant87","Yes",0,0
"LQT2","variant88","Yes",0,0
"LQT2","variant89","Yes",0,0
"LQT2","variant90","Yes",0,0
"LQT2","variant91","Yes",0,0
"LQT2","variant92","Yes",0,0
"LQT2","variant93","Yes",0,0
"LQT2","variant94","Yes",0,0
"LQT2","variant95","Yes",0,0
"LQT2","variant96","Yes",0,0
"LQT2","variant97","Yes",0,0
"LQT2","variant98","Yes",0,0
"LQT2","variant99","Yes",0,0
"LQT2","variant100","Yes",0,0
"LQT2","variant101","Yes",0,0
"LQT2","variant102","Yes",0,0
"LQT2","variant103","Yes",0,0
"LQT2","variant104","Yes",0,0
"LQT2","variant105","Yes",0,0
"LQT2","variant106","Yes",0,0
"LQT2","variant107","Yes",0,0
"LQT2","variant108","Yes",0,0
"LQT2","variant109","Yes",0,0
"LQT2","variant110","Yes",0,0
"LQT2","variant111","Yes",0,0
"LQT2","variant112","Yes",0,0
"LQT2","variant113","Yes",0,0
"LQT2","variant114","Yes",0,0
"LQT2","variant115","Yes",0,0
"LQT2","variant116","Yes",0,0
"LQT2","variant117","Yes",0,0
"LQT2","variant118","Yes",0,0
"LQT1","variant119","Yes",135,74.1758241758242
"LQT1","variant120","Yes",10,55.5555555555556
"LQT1","variant121","Yes",3,25
"LQT1","variant122","Yes",2,50
"LQT1","variant123","Yes",1,50
"LQT1","variant124","Yes",2,14.2857142857143
"LQT1","variant125","Yes",1,25
"LQT1","variant126","Yes",1,100
"LQT1","variant127","Yes",5,71.4285714285714
"LQT1","variant128","Yes",2,28.5714285714286
"LQT1","variant129","Yes",6,40
"LQT1","variant130","Yes",1,33.3333333333333
"LQT1","variant131","Yes",1,11.1111111111111
"LQT1","variant132","Yes",1,6.66666666666667
"LQT1","variant133","Yes",1,100
"LQT1","variant134","Yes",1,20
"LQT1","variant135","Yes",1,33.3333333333333
"LQT1","variant136","Yes",3,30
"LQT1","variant137","Yes",1,25
"LQT1","variant138","Yes",1,25
"LQT1","variant139","Yes",1,50
"LQT1","variant140","Yes",3,3.75
"LQT1","variant141","Yes",6,25
"LQT1","variant142","Yes",1,25
"LQT1","variant143","Yes",1,8.33333333333333
"LQT1","variant144","Yes",1,100
"LQT1","variant145","Yes",2,25
"LQT1","variant146","Yes",4,44.4444444444444
"LQT1","variant147","Yes",1,12.5
"LQT1","variant148","Yes",1,50
"LQT1","variant149","Yes",2,50
"LQT1","variant150","Yes",1,50
"LQT1","variant151","Yes",3,30
"LQT1","variant152","Yes",1,25
"LQT1","variant153","Yes",1,20
"LQT1","variant154","Yes",1,6.25
"LQT1","variant155","Yes",1,9.09090909090909
"LQT1","variant156","Yes",3,13.6363636363636
"LQT1","variant157","Yes",1,100
"LQT1","variant158","Yes",2,66.6666666666667
"LQT2","variant159","Yes",1,7.69230769230769
"LQT2","variant160","Yes",2,40
"LQT2","variant161","Yes",9,69.2307692307692
"LQT2","variant162","Yes",2,100
"LQT2","variant163","Yes",1,50
"LQT2","variant164","Yes",3,60
"LQT2","variant165","Yes",1,100
"LQT2","variant166","Yes",1,100
"LQT2","variant167","Yes",1,50
"LQT2","variant168","Yes",1,16.6666666666667
"LQT2","variant169","Yes",1,8.33333333333333
"LQT2","variant170","Yes",3,42.8571428571429
"LQT2","variant126","Yes",1,100
"LQT2","variant171","Yes",1,100
"LQT2","variant172","Yes",1,33.3333333333333
"LQT2","variant173","Yes",3,60
"LQT2","variant174","Yes",2,100
"LQT2","variant175","Yes",2,100
"LQT2","variant176","Yes",1,100
"LQT2","variant177","Yes",1,100
"LQT2","variant178","Yes",1,50
"LQT2","variant179","Yes",3,30
"LQT2","variant180","Yes",1,100
"LQT2","variant181","Yes",8,42.1052631578947
"LQT2","variant182","Yes",1,50
"LQT2","variant183","Yes",1,100
"LQT2","variant184","Yes",1,100
"LQT2","variant185","Yes",1,100
"LQT2","variant186","Yes",2,100
"LQT2","variant187","Yes",1,16.6666666666667
"LQT2","variant188","Yes",1,50
"LQT2","variant189","Yes",1,100
"LQT2","variant190","Yes",1,25
"LQT2","variant191","Yes",1,33.3333333333333
"LQT2","variant192","Yes",1,33.3333333333333
"LQT2","variant193","Yes",1,33.3333333333333
"LQT2","variant194","Yes",1,10
"LQT2","variant195","Yes",5,20
"LQT2","variant196","Yes",4,80
"LQT2","variant197","Yes",2,33.3333333333333
"LQT2","variant198","Yes",1,100
"LQT2","variant199","Yes",1,100
"LQT2","variant200","Yes",1,12.5
"LQT2","variant201","Yes",1,16.6666666666667
"LQT2","variant202","Yes",2,40
"LQT2","variant203","Yes",1,100
"LQT2","variant204","Yes",1,33.3333333333333
"LQT2","variant205","Yes",1,50
"LQT2","variant206","Yes",2,33.3333333333333
"LQT2","variant207","Yes",2,100
