Channel Label,Well Label,Plate,Date,Cell Line,Diff Name,Experiment,Drug,Dose Label,Channel ID,Well ID,Compound ID,Compound Name,Dose [pM],T Detection Timestamp [µs],Manually Changed,Mean Slope [V/s],Mean RR Interval [µs],RR Interval CV,Mean Peak-to-Peak Amplitude [pV],Active Channel,Max-Min difference [pV],Mean Conduction Velocity [cm/s],Differentiation Method,Culture Age,Timepoint,Project,Expanded,Medium,MEA Type,Date of plating,T wave missing,cFPD,FPD,RR,norm_cFPD,norm_FPD,norm_RR,norm_cond_vel,norm_PtPA,Variant Risk Level,Symptoms,Variant,Disease,norm_slope,norm_RRCV,FourScore
13,B2,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_TTX_CARIPLO_001,Tetrodotoxin,Vehicle,38,7,TTX,Tetrodotoxin,0,559700,FALSE,-2.983,1568309.333,0.067,2145253835.526,TRUE,NA,35.863,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,446.929934084155,559.7,1.568309333,1,1,1,1,1,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,1,1,3
13,B2,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_TTX_CARIPLO_001,Tetrodotoxin,1 µM,38,7,TTX,Tetrodotoxin,1000000,601600,FALSE,-2.586,1536861.039,0.025,1886832629.692,TRUE,NA,24.09,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,485.27791511095,601.6,1.536861039,1.08580311610896,1.07486153296409,0.979947645953338,0.671722945654295,0.879538168605284,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.8669125041904122,0.373134328358209,3
13,B2,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_TTX_CARIPLO_001,Tetrodotoxin,10 µM,38,7,TTX,Tetrodotoxin,10000000,596700,FALSE,-2.139,1616353.425,0.046,1582251811.297,TRUE,NA,33.662,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,469.340329545156,596.7,1.616353425,1.05014297264945,1.06610684295158,1.03063432129687,0.938627554861556,0.737559250609168,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.7170633590345289,0.6865671641791045,3
13,B2,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_TTX_CARIPLO_001,Tetrodotoxin,100 nM,38,7,TTX,Tetrodotoxin,100000,597500,FALSE,-3.019,1598344.595,0.044,2010487424.32,TRUE,NA,42.824,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,472.609776442274,597.5,1.598344595,1.05745831818301,1.06753618009648,1.01915136342557,1.1940997685637,0.937179270362215,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,1.0120683875293328,0.6567164179104477,3
13,B2,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_TTX_CARIPLO_001,Tetrodotoxin,300 nM,38,7,TTX,Tetrodotoxin,300000,604700,FALSE,-2.823,1585967.568,0.027,1979753217.76,TRUE,NA,28.503,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,480.167561883016,604.7,1.585967568,1.07436876625186,1.08040021440057,1.01125940822288,0.794774558737417,0.922852664320994,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.9463627220918538,0.40298507462686567,3
13,B2,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_TTX_CARIPLO_001,Tetrodotoxin,Control,38,7,TTX,Tetrodotoxin,0,504200,FALSE,-2.365,1276986.022,0.073,1941883736.043,TRUE,NA,49.317,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,446.179661437684,504.2,1.276986022,0.998321274568444,0.900839735572628,0.814243717824002,1.37514987591668,0.905199983276974,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.7928260140797855,1.08955223880597,3
23,A5,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_NIFE_CARIPLO_001,Nifedipine,Vehicle,97,4,NIFE,Nifedipine,0,543300,FALSE,-0.753,1535848.718,0.03,280105602.835,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,438.394891980994,543.3,1.535848718,1,1,1,NA,1,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,1,1,3
23,A5,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_NIFE_CARIPLO_001,Nifedipine,1 µM,97,4,NIFE,Nifedipine,1000000,466900,FALSE,-0.721,2026304.545,1.314,282704363.478,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,327.998240988994,466.9,2.026304545,0.748179887559489,0.85937787594330906,1.31933863098097,NA,1.00927778886498,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.9575033200531208,43.800000000000004,1
23,A5,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_NIFE_CARIPLO_001,Nifedipine,100 nM,97,4,NIFE,Nifedipine,100000,555500,FALSE,-0.649,1568710.526,0.026,332661535.169,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,443.519437653408,555.5,1.568710526,1.01168933709346,1.02245536535984,1.02139651361157,NA,1.18762899350128,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.8618857901726428,0.8666666666666667,3
23,A5,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_NIFE_CARIPLO_001,Nifedipine,30 nM,97,4,NIFE,Nifedipine,30000,561300,FALSE,-0.657,1562688.158,0.019,342464457.974,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,449.012965491757,561.3,1.562688158,1.02422034039398,1.03313086692435,1.01747531490924,NA,1.2226262327774,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.8725099601593626,0.6333333333333333,3
23,A5,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_NIFE_CARIPLO_001,Nifedipine,300 nM,97,4,NIFE,Nifedipine,300000,536400,FALSE,-0.441,1551172.368,0.042,265560590.494,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,430.684001345489,536.4,1.551172368,0.98241108467149,0.987299834345665,1.00997731731023,NA,0.948073111734334,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.5856573705179283,1.4000000000000001,3
23,A5,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_NIFE_CARIPLO_001,Nifedipine,Control,97,4,NIFE,Nifedipine,0,489200,FALSE,-0.71,1228461.856,0.017,276875176.898,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,441.37284518579,489.2,1.228461856,1.00679285561777,0.900423338855145,0.799858632951634,NA,0.988467114172997,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.9428950863213811,0.5666666666666668,3
31,A1,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_TTX_CARIPLO_001,Tetrodotoxin,Vehicle,6,0,TTX,Tetrodotoxin,0,572400,FALSE,-0.324,1630519.178,0.021,176495498.595,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,448.266897590795,572.4,1.630519178,1,1,1,NA,1,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,1,1,3
31,A1,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_TTX_CARIPLO_001,Tetrodotoxin,1 µM,6,0,TTX,Tetrodotoxin,1000000,579300,FALSE,-0.245,1518169.231,0.029,153964676.81,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,470.157573031995,579.3,1.518169231,1.04883402178223,1.01205450733753,0.931095599171174,NA,0.872343363063888,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.7561728395061728,1.380952380952381,3
31,A1,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_TTX_CARIPLO_001,Tetrodotoxin,10 µM,6,0,TTX,Tetrodotoxin,10000000,557400,FALSE,-0.156,1485771.25,0.051,130674043.556,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,457.289246960329,557.4,1.48577125,1.02012718185979,0.973794549266247,0.91122586599837,NA,0.740381735490346,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.48148148148148145,2.4285714285714284,3
31,A1,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_TTX_CARIPLO_001,Tetrodotoxin,100 nM,6,0,TTX,Tetrodotoxin,100000,591100,FALSE,-0.286,1628212.329,0.014,165112745.514,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,463.239346075507,591.1,1.628212329,1.03340074532646,1.03266946191474,0.998585205846625,NA,0.935506836312467,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.882716049382716,0.6666666666666666,3
31,A1,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_TTX_CARIPLO_001,Tetrodotoxin,300 nM,6,0,TTX,Tetrodotoxin,300000,589600,FALSE,-0.217,1559901.316,0.025,159355551.429,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,472.072729071873,589.6,1.559901316,1.05310637838534,1.03004891684137,0.956689953143256,NA,0.90288734102318,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.6697530864197531,1.1904761904761905,3
31,A1,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_TTX_CARIPLO_001,Tetrodotoxin,Control,6,0,TTX,Tetrodotoxin,0,514400,FALSE,-0.285,1321847.778,0.01,161251089.626,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,447.414687973608,514.4,1.321847778,0.9980988789898,0.898672257162823,0.810691340424087,NA,0.913627208113783,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.8796296296296295,0.47619047619047616,3
31,A4,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_NIFE_CARIPLO_001,Nifedipine,Vehicle,78,3,NIFE,Nifedipine,0,582600,FALSE,-2.741,1620157.534,0.017,1114819523.189,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,457.711535559637,582.6,1.620157534,1,1,1,NA,1,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,1,1,3
31,A4,3729,20210123,HDF30c3,2020_HDF30c3_DIFF18_LS_P1,20210123_NIFE_CARIPLO_001,Nifedipine,1 µM,78,3,NIFE,Nifedipine,1000000,455900,FALSE,-2.361,1388624.706,0.054,1156372352.512,TRUE,NA,NA,Stanford_Expanded,D14+14+D14,0,CARIPLO,Yes,RBK1,MWMEA24,20210111,No,386.880774222407,455.9,1.388624706,0.845250215835993,0.7825266048747,0.857092398028499,NA,1.03727314462895,High Risk,Yes,KCNQ1-p.R190W & p.R594Q,JLNS,0.8613644655235316,3.176470588235294,3
