"","Channel Label","Well Label","Plate","Date","Cell Line","Diff Name","Experiment","Drug","Dose Label","Channel ID","Well ID","Compound ID","Compound Name","Dose [pM]","T Detection Timestamp [µs]","Manually Changed","Mean Slope [V/s]","Mean RR Interval [µs]","RR Interval CV","Mean Peak-to-Peak Amplitude [pV]","Active Channel","Max-Min difference [pV]","Mean Conduction Velocity [cm/s]","Differentiation Method","Culture Age","Dissociation Enzyme","Timepoint","Project","Expanded","Medium","MEA Type","Date of plating","FourScore","cFPD","FPD","RR","norm_cFPD","norm_FPD","norm_RR","norm_cond_vel","norm_PtPA","Variant","Disease","Variant Risk Level","Symptoms","QTc","norm_slope","norm_RRCV"
"1",21,"A6",7551,20251010,"S34Ec16","2024_DIFF2_CA","20251010_Haloperidol_CARIPLO_001","Haloperidol","Vehicle",125,5,"Haloperidol","Haloperidol",0,1183600,FALSE,-9.233,4655148,0.089,2694015978.923,TRUE,NA,21.153,"Stanford_Expanded","D11+27","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20250924,3,548.57777667822,1183.6,4.655148,1,1,1,1,1,"WT","Healthy","Low Risk","No",390,1,1
"2",21,"A6",7551,20251010,"S34Ec16","2024_DIFF2_CA","20251010_Haloperidol_CARIPLO_001","Haloperidol","1 µM",125,5,"Haloperidol","Haloperidol",1e+06,4346860,TRUE,-5.684,7778800,0.041,2399700749.6,FALSE,NA,55.246,"Stanford_Expanded","D11+27","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20250924,3,1558.54501452397,4346.86,7.7788,2.84106480572612,3.67257519432241,1.67101024500188,2.6117335602515,0.890752233236323,"WT","Healthy","Low Risk","No",390,0.615617892342684,0.460674157303371
"3",21,"A6",7551,20251010,"S34Ec16","2024_DIFF2_CA","20251010_Haloperidol_CARIPLO_001","Haloperidol","3 µM",125,5,"Haloperidol","Haloperidol",3e+06,5309302,TRUE,-2.708,8311323.077,0.049,1285194220.286,FALSE,NA,76.083,"Stanford_Expanded","D11+27","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20250924,3,1841.62985610621,5309.302,8.311323077,3.35709890994446,4.48572321730314,1.78540469110757,3.59679478088214,0.47705515867051,"WT","Healthy","Low Risk","No",390,0.293295786851511,0.550561797752809
"4",21,"A6",7551,20251010,"S34Ec16","2024_DIFF2_CA","20251010_Haloperidol_CARIPLO_001","Haloperidol","300 nM",125,5,"Haloperidol","Haloperidol",3e+05,1257200,FALSE,-8.032,4631812,0.032,2694809170.615,TRUE,NA,102.912,"Stanford_Expanded","D11+27","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20250924,3,584.156092509729,1257.2,4.631812,1.06485555438819,1.06218316998986,0.994987055191371,4.86512551411147,1.00029442724104,"WT","Healthy","Low Risk","No",390,0.869923101917037,0.359550561797753
"5",21,"A6",7551,20251010,"S34Ec16","2024_DIFF2_CA","20251010_Haloperidol_CARIPLO_001","Haloperidol","Control",125,5,"Haloperidol","Haloperidol",0,1048500,FALSE,-9.657,4227546.429,0.039,2741210568.414,TRUE,NA,27.754,"Stanford_Expanded","D11+27","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20250924,3,509.946061402812,1048.5,4.227546429,0.929578417285999,0.885856708347415,0.908144365979342,1.31205975511748,1.01751830347713,"WT","Healthy","Low Risk","No",390,1.04592223545976,0.438202247191011
"6",21,"B3",7551,20251010,"S34Ec16","2024_DIFF2_CA","20251010_Dofetilide_CARIPLO_001","Dofetilide","1 nM",65,8,"Dofetilide","Dofetilide",1000,1194600,FALSE,-9.002,3578757.576,0.021,2723290982.471,TRUE,NA,14.397,"Stanford_Expanded","D11+27","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20250924,3,631.475303353752,1194.6,3.578757576,NA,NA,0.918181381180535,0.993581780538302,0.997516244263529,"WT","Healthy","Low Risk","No",390,0.991300517564145,0.216494845360825
"7",21,"B3",7551,20251010,"S34Ec16","2024_DIFF2_CA","20251010_Dofetilide_CARIPLO_001","Dofetilide","Vehicle",65,8,"Dofetilide","Dofetilide",0,NA,NA,-9.081,3897658.621,0.097,2730071814,FALSE,NA,14.49,"Stanford_Expanded","D11+27","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20250924,3,NA,NA,3.897658621,NA,NA,1,1,1,"WT","Healthy","Low Risk","No",390,1,1
"8",21,"B3",7551,20251010,"S34Ec16","2024_DIFF2_CA","20251010_Dofetilide_CARIPLO_001","Dofetilide","10 nM",65,8,"Dofetilide","Dofetilide",10000,3062868,TRUE,-5.284,6797311.765,0.229,2094809070.667,FALSE,NA,19.908,"Stanford_Expanded","D11+27","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20250924,2,1174.78849747613,3062.868,6.797311765,NA,NA,1.74394743766863,1.37391304347826,0.767309145468142,"WT","Healthy","Low Risk","No",390,0.581874242924788,2.36082474226804
"9",21,"B3",7551,20251010,"S34Ec16","2024_DIFF2_CA","20251010_Dofetilide_CARIPLO_001","Dofetilide","100 nM",65,8,"Dofetilide","Dofetilide",1e+05,NA,NA,-0.069,9928483.333,1.184,89062130.769,FALSE,NA,NA,"Stanford_Expanded","D11+27","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20250924,1,NA,NA,9.928483333,NA,NA,2.54729423441725,NA,0.0326226329696835,"WT","Healthy","Low Risk","No",390,0.007598282127519,12.2061855670103
"10",21,"B3",7551,20251010,"S34Ec16","2024_DIFF2_CA","20251010_Dofetilide_CARIPLO_001","Dofetilide","3 nM",65,8,"Dofetilide","Dofetilide",3000,1403300,FALSE,-8.129,3665581.25,0.018,2598380388.364,TRUE,NA,26.518,"Stanford_Expanded","D11+27","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20250924,3,732.958017953395,1403.3,3.66558125,NA,NA,0.94045723508221,1.83008971704624,0.951762651458223,"WT","Healthy","Low Risk","No",390,0.895165730646405,0.185567010309278
