"","Voltage","Cell","Current Density","Group"
"1",-40,"20210413_Cell2_WTC-11",0.375826407147997,"WT"
"2",-40,"20210413_Cell3_WTC-11",0.263393862320562,"WT"
"3",-40,"20210413_Cell4_WTC-11",0.373536659674153,"WT"
"4",-40,"20210505_Cell1_WTC-11",NA,"WT"
"5",-40,"20210505_Cell5_WTC-11",1.16509019521064,"WT"
"6",-40,"20210505_Cell6_WTC-11",0.194602524371488,"WT"
"7",-40,"20210622_Cell2_WTC-11",0.375012523723098,"WT"
"8",-40,"20210622_Cell4_WTC-11",0.12562084197998,"WT"
"9",-40,"20210622_Cell7_WTC-11",NA,"WT"
"10",-40,"20210622_Cell8_WTC-11",0.104427494870171,"WT"
"11",-40,"20210622_Cell9_WTC-11",0.348252815112733,"WT"
"12",-40,"20210622_Cell12_WTC-11",NA,"WT"
"13",-40,"20210622_Cell13_WTC-11",0.405810124258257,"WT"
"14",-40,"20210622_Cell14_WTC-11",0.169277578251664,"WT"
"15",-40,"20210622_Cell15_WTC-11",0.0733606937013855,"WT"
"16",-40,"20210622_Cell16_WTC-11",0.416920304599883,"WT"
"17",-40,"20210623_Cell5_WTC-11",0.357239507918556,"WT"
"18",-40,"20210623_Cell6_WTC-11",0.130183505002969,"WT"
"19",-40,"20210623_Cell7_WTC-11",0.343925029307872,"WT"
"20",-40,"20210723_Cell13_WTC-11",0.527913739450912,"WT"
"21",-40,"20210723_Cell18_WTC-11",0.353435913776846,"WT"
"22",-40,"20210726_Cell2_WTC-11",NA,"WT"
"23",-40,"20210726_Cell7_WTC-11",0.200377605934865,"WT"
"24",-40,"20210802_Cell7_WTC-11",0.204198891755044,"WT"
"25",-30,"20210413_Cell2_WTC-11",0.144908429077375,"WT"
"26",-30,"20210413_Cell3_WTC-11",0.439806003824167,"WT"
"27",-30,"20210413_Cell4_WTC-11",0.242276614483506,"WT"
"28",-30,"20210505_Cell1_WTC-11",NA,"WT"
"29",-30,"20210505_Cell5_WTC-11",1.3347899840203,"WT"
"30",-30,"20210505_Cell6_WTC-11",0.969916547534398,"WT"
"31",-30,"20210622_Cell2_WTC-11",0.359404078069723,"WT"
"32",-30,"20210622_Cell4_WTC-11",0.136616521411472,"WT"
"33",-30,"20210622_Cell7_WTC-11",NA,"WT"
"34",-30,"20210622_Cell8_WTC-11",0.408383883531757,"WT"
"35",-30,"20210622_Cell9_WTC-11",0.218246192262884,"WT"
"36",-30,"20210622_Cell12_WTC-11",NA,"WT"
"37",-30,"20210622_Cell13_WTC-11",0.499873916269739,"WT"
"38",-30,"20210622_Cell14_WTC-11",0.218736074684379,"WT"
"39",-30,"20210622_Cell15_WTC-11",0.365779592893917,"WT"
"40",-30,"20210622_Cell16_WTC-11",1.01883322925498,"WT"
"41",-30,"20210623_Cell5_WTC-11",0.259518890003234,"WT"
"42",-30,"20210623_Cell6_WTC-11",0.338055965241318,"WT"
"43",-30,"20210623_Cell7_WTC-11",0.241389940450857,"WT"
"44",-30,"20210723_Cell13_WTC-11",0.28721426423025,"WT"
"45",-30,"20210723_Cell18_WTC-11",0.47447785952037,"WT"
"46",-30,"20210726_Cell2_WTC-11",NA,"WT"
"47",-30,"20210726_Cell7_WTC-11",0.157861938570001,"WT"
"48",-30,"20210802_Cell7_WTC-11",0.12820620489635,"WT"
"49",-20,"20210413_Cell2_WTC-11",0.36322367720948,"WT"
"50",-20,"20210413_Cell3_WTC-11",0.481332388192254,"WT"
"51",-20,"20210413_Cell4_WTC-11",0.389820418510325,"WT"
"52",-20,"20210505_Cell1_WTC-11",NA,"WT"
"53",-20,"20210505_Cell5_WTC-11",1.12080375763772,"WT"
"54",-20,"20210505_Cell6_WTC-11",1.27312051008689,"WT"
"55",-20,"20210622_Cell2_WTC-11",0.881035714779257,"WT"
