"","Channel Label","Well Label","Plate","Date","Cell Line","Diff Name","Experiment","Drug","Dose Label","Channel ID","Well ID","Compound ID","Compound Name","Dose [pM]","T Detection Timestamp [µs]","Manually Changed","Mean Slope [V/s]","Mean RR Interval [µs]","RR Interval CV","Mean Peak-to-Peak Amplitude [pV]","Active Channel","Max-Min difference [pV]","Mean Conduction Velocity [cm/s]","Differentiation Method","Culture Age","Dissociation Enzyme","Timepoint","Project","Expanded","Medium","MEA Type","Date of plating","FourScore","cFPD","FPD","RR","norm_cFPD","norm_FPD","norm_RR","norm_cond_vel","norm_PtPA","Variant","Disease"
"1",12,"B4",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_Dofetilide_CARIPLO_002","Dofetilide","1 nM",87,9,"Dofetilide","Dofetilide",1000,409500,FALSE,-13.699,2292826.923,0.009,2725600951.698,TRUE,NA,44.686,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,270.438345143143,409.5,2.292826923,1.04894468899995,1.01461843409316,0.935621774070123,0.963496410013153,0.989318256981066,"WT","Healthy"
"2",12,"B4",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_Dofetilide_CARIPLO_002","Dofetilide","1 pM",87,9,"Dofetilide","Dofetilide",0,403600,FALSE,-14.037,2450591.667,0.045,2755029468.49,TRUE,NA,46.379,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,257.819452235347,403.6,2.450591667,1,1,1,1,1,"WT","Healthy"
"3",12,"B4",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_Dofetilide_CARIPLO_002","Dofetilide","10 nM",87,9,"Dofetilide","Dofetilide",10000,448200,FALSE,-13.074,1980520,0.03,2631305543.213,TRUE,NA,42.702,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,318.480052367782,448.2,1.98052,1.23528325580749,1.11050545094153,0.808180337291582,0.92071842859915,0.95509161455728,"WT","Healthy"
"4",12,"B4",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_Dofetilide_CARIPLO_002","Dofetilide","100 nM",87,9,"Dofetilide","Dofetilide",1e+05,453100,FALSE,-10.398,1872292.063,0.085,2075682291.938,TRUE,NA,45.867,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,331.136660062864,453.1,1.872292063,1.28437422852249,1.12264618434093,0.76401633459076,0.988960520925419,0.753415640623132,"WT","Healthy"
"5",12,"B4",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_Dofetilide_CARIPLO_002","Dofetilide","3 nM",87,9,"Dofetilide","Dofetilide",3000,427100,FALSE,-12.741,2138162.5,0.016,2528480106.316,TRUE,NA,45.678,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,292.084974993222,427.1,2.1381625,1.13290511038165,1.05822596630327,0.872508679757948,0.984885400720154,0.917768806190604,"WT","Healthy"
"6",12,"B4",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_Dofetilide_CARIPLO_002","Dofetilide","30 nM",87,9,"Dofetilide","Dofetilide",30000,NA,NA,-11.996,1873046.032,0.016,2380742083.125,FALSE,NA,56.561,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,NA,NA,1.873046032,NA,NA,0.764324002738886,1.21953901550271,0.864143963015342,"WT","Healthy"
"7",12,"B4",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_Dofetilide_CARIPLO_002","Dofetilide","Control",87,9,"Dofetilide","Dofetilide",0,397100,FALSE,-17.466,2001571.186,0.087,3230580509.6,TRUE,NA,42.262,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,280.68187359619,397.1,2.001571186,1.08867609159286,0.983894945490585,0.816770583591477,0.911231376269432,1.17261196170459,"WT","Healthy"
"8",12,"C5",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_NIFE_CARIPLO_002","NIFE","1 µM",176,16,"NIFE","Nifedipine",1e+06,275700,FALSE,-9.59,1273608.602,0.03,1709461742.553,TRUE,NA,NA,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,244.297360275077,275.7,1.273608602,0.970507850634311,0.684968944099379,0.49813110010404,NA,0.945962636589606,"WT","Healthy"
"9",12,"C5",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_NIFE_CARIPLO_002","NIFE","1 pM",176,16,"NIFE","Nifedipine",0,402500,FALSE,-10.463,2556773.913,0.024,1807113385.277,TRUE,NA,37.004,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,251.72115827338,402.5,2.556773913,1,1,1,1,1,"WT","Healthy"
"10",12,"C5",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_NIFE_CARIPLO_002","NIFE","100 nM",176,16,"NIFE","Nifedipine",1e+05,316000,FALSE,-9.896,1856607.813,0.1,1760264758.338,TRUE,NA,NA,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,231.914015583624,316,1.856607813,0.921313159268699,0.785093167701863,0.726152517264048,NA,0.974075435818977,"WT","Healthy"
"11",12,"C5",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_NIFE_CARIPLO_002","NIFE","2 µM",176,16,"NIFE","Nifedipine",2e+06,236600,FALSE,-8.195,939317.323,0.068,1543050237.844,FALSE,NA,NA,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,244.122930364562,236.6,0.939317323,0.969814901691474,0.587826086956522,0.367383802777403,NA,0.853875717160645,"WT","Healthy"
"12",12,"C5",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_NIFE_CARIPLO_002","NIFE","30 nM",176,16,"NIFE","Nifedipine",30000,394500,FALSE,-10.346,2397310.204,0.058,1830615267.84,TRUE,NA,NA,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,254.791473599972,394.5,2.397310204,1.01219728745748,0.980124223602485,0.937630891730707,NA,1.0130052063996,"WT","Healthy"
"13",12,"C5",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_NIFE_CARIPLO_002","NIFE","300 nM",176,16,"NIFE","Nifedipine",3e+05,298000,FALSE,-10.123,1542589.61,0.063,1781195237.846,TRUE,NA,NA,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,239.933596053748,298,1.54258961,0.953172143730445,0.740372670807453,0.603334382503143,NA,0.98565770823117,"WT","Healthy"
"14",12,"C5",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_NIFE_CARIPLO_002","NIFE","Control",176,16,"NIFE","Nifedipine",0,391100,FALSE,-9.73,2370206.122,0.019,1707805994.16,TRUE,NA,37.062,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,254.035703074235,391.1,2.370206122,1.0091948758568,0.97167701863354,0.927030000559928,1.00156739811912,0.945046397239884,"WT","Healthy"
"15",12,"D5",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_ETOH_CARIPLO_002","ETOH","1 µM",188,22,"ETOH","ETOH",1e+06,460800,FALSE,-19.378,1940800,0.038,3860166538.065,TRUE,NA,42.156,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,330.766927154043,460.8,1.9408,1.18484356542427,1.09949892627058,0.86112776148167,0.953022561830266,0.935900948498042,"WT","Healthy"
"16",12,"D5",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_ETOH_CARIPLO_002","ETOH","1 pM",188,22,"ETOH","ETOH",0,419100,FALSE,-20.84,2253788.679,0.029,4124546026.222,TRUE,NA,44.234,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,279.165061790755,419.1,2.253788679,1,1,1,1,1,"WT","Healthy"
"17",12,"D5",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_ETOH_CARIPLO_002","ETOH","100 nM",188,22,"ETOH","ETOH",1e+05,456600,FALSE,-20.77,2177435.185,0.034,4142582036.073,TRUE,NA,48.177,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,309.430621038401,456.6,2.177435185,1.10841456682832,1.08947745168218,0.966122159228399,1.08913957589185,1.00437284727491,"WT","Healthy"
"18",12,"D5",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_ETOH_CARIPLO_002","ETOH","2 µM",188,22,"ETOH","ETOH",2e+06,458800,FALSE,-19.463,1814880,0.013,3897598578.364,TRUE,NA,55.283,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,340.564559727412,458.8,1.81488,1.21993976446336,1.0947267955142,0.805257394763939,1.24978523307863,0.944976381299864,"WT","Healthy"
"19",12,"D5",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_ETOH_CARIPLO_002","ETOH","30 nM",188,22,"ETOH","ETOH",30000,453800,FALSE,-20.261,2342050,0.061,4052255074.588,TRUE,NA,45.703,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,296.528479242983,453.8,2.34205,1.06219767380935,1.08279646862324,1.03916131171586,1.03320974815753,0.982472991894282,"WT","Healthy"
"20",12,"D5",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_ETOH_CARIPLO_002","ETOH","300 nM",188,22,"ETOH","ETOH",3e+05,455500,FALSE,-21.117,1993067.797,0.024,4179116578.8,TRUE,NA,60.383,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,322.64678745815,455.5,1.993067797,1.15575633063992,1.08685277976617,0.884318843008972,1.36508115928923,1.01323068096005,"WT","Healthy"
"21",12,"D5",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_ETOH_CARIPLO_002","ETOH","Control",188,22,"ETOH","ETOH",0,410700,FALSE,-20.65,2157275.926,0.015,4084072582.255,TRUE,NA,56.516,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,279.62233265472,410.7,2.157275926,1.00163799460087,0.979957050823193,0.957177550007562,1.27765971876837,0.990187176065029,"WT","Healthy"
"22",13,"A2",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_DMSO_CARIPLO_002","DMSO","1 nM",26,1,"DMSO","DMSO",1000,433700,FALSE,-10.473,2663020.455,0.018,2113067762.667,TRUE,NA,40.032,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,265.767683493611,433.7,2.663020455,1.07344160100936,1.03755980861244,0.934263616453102,0.930652098105312,0.937023089715978,"WT","Healthy"
"23",13,"A2",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_DMSO_CARIPLO_002","DMSO","1 pM",26,1,"DMSO","DMSO",0,418000,FALSE,-11.915,2850395.122,0.043,2255086118.857,TRUE,NA,43.015,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,247.584669015724,418,2.850395122,1,1,1,1,1,"WT","Healthy"
"24",13,"A2",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_DMSO_CARIPLO_002","DMSO","10 nM",26,1,"DMSO","DMSO",10000,440600,FALSE,-11.206,2151267.273,0.009,2060194165.929,TRUE,NA,45.769,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,300.398187265679,440.6,2.151267273,1.21331497810392,1.05406698564593,0.754725987423999,1.06402417761246,0.913576713856595,"WT","Healthy"
"25",13,"A2",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_DMSO_CARIPLO_002","DMSO","100 nM",26,1,"DMSO","DMSO",1e+05,440000,FALSE,-10.717,1916180.645,0.021,2148702439.81,TRUE,NA,40.327,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,317.858955485756,440,1.916180645,1.28383941036983,1.05263157894737,0.672250885573891,0.937510170870626,0.952825003818071,"WT","Healthy"
"26",13,"A2",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_DMSO_CARIPLO_002","DMSO","3 nM",26,1,"DMSO","DMSO",3000,439900,FALSE,-12.287,2332411.765,0.012,2229518568.231,TRUE,NA,41.736,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,288.039037002425,439.9,2.332411765,1.16339609454628,1.05239234449761,0.818276647682251,0.970266186214111,0.988662273067,"WT","Healthy"
"27",13,"A2",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_DMSO_CARIPLO_002","DMSO","30 nM",26,1,"DMSO","DMSO",30000,439400,FALSE,-12.285,2060550.877,0.015,2286929433.517,TRUE,NA,42.318,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,306.103560717737,439.4,2.060550877,1.23635910872291,1.0511961722488,0.722900085358762,0.983796350110427,1.01412066456963,"WT","Healthy"
"28",13,"A2",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_DMSO_CARIPLO_002","DMSO","Control",26,1,"DMSO","DMSO",0,403800,FALSE,-11.191,2259659.615,0.027,2041895838.34,TRUE,NA,47.327,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,268.623994366996,403.8,2.259659615,1.08497830433085,0.966028708133971,0.792753116071323,1.10024410089504,0.905462466052047,"WT","Healthy"
"29",13,"A4",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_DMSO_CARIPLO_002","DMSO","1 nM",74,3,"DMSO","DMSO",1000,419600,FALSE,-6.044,2385336.735,0.016,1426127026.8,TRUE,NA,41.353,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,271.681853372636,419.6,2.385336735,1.06653643458379,1.02142161635833,0.917188702662131,0.970135597991836,0.907165982559561,"WT","Healthy"
"30",13,"A4",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_DMSO_CARIPLO_002","DMSO","1 pM",74,3,"DMSO","DMSO",0,410800,FALSE,-6.516,2600704.444,0.053,1572068457.391,TRUE,NA,42.626,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,254.732838525726,410.8,2.600704444,1,1,1,1,1,"WT","Healthy"
"31",13,"A4",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_DMSO_CARIPLO_002","DMSO","10 nM",74,3,"DMSO","DMSO",10000,422000,FALSE,-6.656,1956548.333,0.016,1433403893.508,TRUE,NA,43.45,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,301.694338587901,422,1.956548333,1.184355893547,1.02726387536514,0.752314757455,1.01933092478769,0.911794831051361,"WT","Healthy"
"32",13,"A4",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_DMSO_CARIPLO_002","DMSO","100 nM",74,3,"DMSO","DMSO",1e+05,426800,FALSE,-5.364,1687121.429,0.028,1301689237.521,TRUE,NA,40.615,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,328.587652663469,426.8,1.687121429,1.28993047996944,1.03894839337877,0.648717093898271,0.952822221179562,0.828010530585468,"WT","Healthy"
"33",13,"A4",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_DMSO_CARIPLO_002","DMSO","3 nM",74,3,"DMSO","DMSO",3000,422500,FALSE,-5.58,2181535.185,0.034,1365458282.618,TRUE,NA,42.345,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,286.052404246548,422.5,2.181535185,1.12295064076577,1.02848101265823,0.838824723060303,0.993407779289635,0.868574314431644,"WT","Healthy"
"34",13,"A4",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_DMSO_CARIPLO_002","DMSO","30 nM",74,3,"DMSO","DMSO",30000,423500,FALSE,-9.138,1749558.824,0.015,1831281070.435,TRUE,NA,43.908,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,320.176269492973,423.5,1.749558824,1.25691006839166,1.0309152872444,0.672724971896114,1.03007554074978,1.16488633928461,"WT","Healthy"
"35",13,"A4",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_DMSO_CARIPLO_002","DMSO","Control",74,3,"DMSO","DMSO",0,392000,FALSE,-6.531,1813761.538,0.05,1539509006.727,TRUE,NA,43.469,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,291.069012813693,392,1.813761538,1.14264424837514,0.954235637779942,0.697411634830121,1.01977666213109,0.979288783188211,"WT","Healthy"
"36",13,"B5",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_Dofetilide_CARIPLO_002","Dofetilide","1 nM",110,10,"Dofetilide","Dofetilide",1000,408700,FALSE,-8.271,2485244.681,0.017,1633189336,TRUE,NA,44.051,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,259.250773738056,408.7,2.485244681,1.06148231759864,1.03389830508475,0.948702661059762,1.00997340425532,0.959413668698664,"WT","Healthy"
"37",13,"B5",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_Dofetilide_CARIPLO_002","Dofetilide","1 pM",110,10,"Dofetilide","Dofetilide",0,395300,FALSE,-8.633,2619624.444,0.052,1702278578.348,TRUE,NA,43.616,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,244.23466075681,395.3,2.619624444,1,1,1,1,1,"WT","Healthy"
"38",13,"B5",7553,20251014,"WTC-11","2024_DIFF19_CA","20251014_Dofetilide_CARIPLO_002","Dofetilide","10 nM",110,10,"Dofetilide","Dofetilide",10000,438600,FALSE,-9.243,2064540.351,0.03,1760483269.448,TRUE,NA,43.621,"Stanford_Expanded","D11+15","Tryple",0,"CARIPLO","Yes","RBK1","MWMEA24",20251002,3,305.250890516987,438.6,2.064540351,1.24982625140554,1.10953706046041,0.788105468983782,1.00011463683052,1.03419222437522,"WT","Healthy"
