"Metrix","WTC-11","S34Ec16","HDF29c7","HDF28c44","HDF30c3","HDFSA6c27","HDFSA15c14","HDFSA14c19","HDFSA13c5","HDF26c1","HDF27c2","SCVI209c1","SCVI498c1","SCVI507c1"
"Accuracy",0.341942148760331,0,0.601243339253996,0.887021475256769,0.916142557651992,0.970344009489917,0.624708624708625,0.640963855421687,0.65435041716329,0.908244680851064,0.164765525982256,0.945736434108527,0.926728586171311,0.907509157509158
"Kappa",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AccuracyLower",0.312062256454526,0,0.571965760577393,0.866522921826146,0.896717515822939,0.956531753281882,0.59134328779835,0.607270447604173,0.621075496569731,0.885313390939286,0.139538346555452,0.928892179390354,0.908473447174156,0.888751693390837
"AccuracyUpper",0.372787252160422,0.00550705490208247,0.629990488212682,0.905363787758552,0.932948502130095,0.98071819811786,0.657214167050742,0.673652068762402,0.686536388661632,0.927908040373851,0.192526302768346,0.959589403033787,0.942334163663216,0.924034242228885
"AccuracyNull",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AccuracyPValue",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"McnemarPValue",4.08349955444008e-140,7.39886753099135e-147,3.23980366277912e-99,1.04294066657044e-27,1.02390553149542e-18,1.58665630395119e-06,1.44618807397483e-71,2.44638461060654e-66,1.35391675258123e-64,2.69518463696558e-16,6.70550562659921e-145,7.0251371934583e-12,9.77627645387474e-17,2.51242525260532e-23
"Sensitivity",NA,NA,NA,0.887021475256769,0.916142557651992,0.970344009489917,0.624708624708625,0.640963855421687,0.65435041716329,NA,NA,0.945736434108527,0.926728586171311,0.907509157509158
"Specificity",0.341942148760331,0,0.601243339253996,NA,NA,NA,NA,NA,NA,0.908244680851064,0.164765525982256,NA,NA,NA
"Pos Pred Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg Pred Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Precision",0,0,0,1,1,1,1,1,1,0,0,1,1,1
"Recall",NA,NA,NA,0.887021475256769,0.916142557651992,0.970344009489917,0.624708624708625,0.640963855421687,0.65435041716329,NA,NA,0.945736434108527,0.926728586171311,0.907509157509158
"F1",NA,NA,NA,0.940128649183572,0.956236323851203,0.984948826008429,0.769010043041607,0.781204111600587,0.791066282420749,NA,NA,0.972111553784861,0.961971076593465,0.951512241958713
"Prevalence",0,0,0,1,1,1,1,1,1,0,0,1,1,1
"Detection Rate",0,0,0,0.887021475256769,0.916142557651992,0.970344009489917,0.624708624708625,0.640963855421687,0.65435041716329,0,0,0.945736434108527,0.926728586171311,0.907509157509158
"Detection Prevalence",0.658057851239669,1,0.398756660746004,0.887021475256769,0.916142557651992,0.970344009489917,0.624708624708625,0.640963855421687,0.65435041716329,0.0917553191489362,0.835234474017744,0.945736434108527,0.926728586171311,0.907509157509158
"Balanced Accuracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
