"Metrix","HDF30c3","HDF29c7","HDF28c44","WTC-11","HDFSA15c14","HDFSA14c19","SCVI498c1","HDFSA13c5","HDF26c1","HDF27c2","HDFSA6c27","S34Ec16","SCVI507c1","SCVI209c1"
"Accuracy",0.915094339622642,0.602131438721137,0.88328664799253,0.360537190082645,0.487179487179487,0.48433734939759,0.924664602683179,0.579261025029797,0.878989361702128,0.14702154626109,0.928825622775801,0,0.898351648351648,0.947951273532669
"Kappa",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AccuracyLower",0.895573817704781,0.572862282192454,0.862529613203191,0.330236251494159,0.453244949464416,0.44984335734592,0.906206485250707,0.545030321325533,0.853517409855013,0.123033891266082,0.909330875394992,0,0.878883784564559,0.931384383438778
"AccuracyUpper",0.932002898698904,0.630865508644713,0.901909170208608,0.39168955982931,0.521202351924069,0.51894292504166,0.94048726013775,0.61293301936566,0.901441292179194,0.173680766811767,0.945250349572739,0.00550705490208247,0.915640271533874,0.961509329932927
"AccuracyNull",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AccuracyPValue",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"McnemarPValue",6.17230128175285e-19,5.34747824573492e-99,1.38887762673086e-28,3.35658300186666e-136,2.94598742109448e-97,1.20500409220826e-94,3.54753184312677e-17,2.56306384027801e-78,3.92625457101894e-21,6.05079092691985e-148,2.5990639233412e-14,7.39886753099135e-147,1.61549932698077e-25,1.94905225611693e-11
"Sensitivity",0.915094339622642,NA,0.88328664799253,NA,0.487179487179487,0.48433734939759,0.924664602683179,0.579261025029797,NA,NA,0.928825622775801,NA,0.898351648351648,0.947951273532669
"Specificity",NA,0.602131438721137,NA,0.360537190082645,NA,NA,NA,NA,0.878989361702128,0.14702154626109,NA,0,NA,NA
"Pos Pred Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neg Pred Value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Precision",1,0,1,0,1,1,1,1,0,0,1,0,1,1
"Recall",0.915094339622642,NA,0.88328664799253,NA,0.487179487179487,0.48433734939759,0.924664602683179,0.579261025029797,NA,NA,0.928825622775801,NA,0.898351648351648,0.947951273532669
"F1",0.955665024630542,NA,0.938026772434308,NA,0.655172413793103,0.652597402597403,0.960857908847185,0.733584905660377,NA,NA,0.96309963099631,NA,0.946454413892909,0.97328027288232
"Prevalence",1,0,1,0,1,1,1,1,0,0,1,0,1,1
"Detection Rate",0.915094339622642,0,0.88328664799253,0,0.487179487179487,0.48433734939759,0.924664602683179,0.579261025029797,0,0,0.928825622775801,0,0.898351648351648,0.947951273532669
"Detection Prevalence",0.915094339622642,0.397868561278863,0.88328664799253,0.639462809917355,0.487179487179487,0.48433734939759,0.924664602683179,0.579261025029797,0.121010638297872,0.85297845373891,0.928825622775801,1,0.898351648351648,0.947951273532669
"Balanced Accuracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
