Control Time [ms],WT,KCNQ1-p.R190W,KCNQ1-p.R594Q,KCNQ1-p.R190W & KCNQ1-p.R594Q,KCNQ1-p.A341V,KCNH2-p.R366X,KCNH2-p.A561V
-10,5.006736,1.728516,1.966932,-0.119208,0.89406,-1.430496,2.9802
-9.9,5.125944,1.430496,1.549704,-0.476832,0.715248,-1.4901,1.907328
-9.8,5.006736,1.609308,1.549704,-0.059604,0.238416,-1.4901,1.609308
-9.7,5.185548,2.026536,1.668912,0.178812,0.59604,-1.430496,1.847724
-9.6,5.06634,1.966932,1.78812,0,1.013268,-1.609308,1.907328
-9.5,5.006736,1.847724,2.08614,-0.178812,1.311288,-2.026536,2.68218
-9.4,5.185548,1.668912,2.443764,0,1.132476,-1.728516,2.920596
-9.3,5.245152,1.4901,2.145744,0,0.417228,-1.4901,1.966932
-9.2,5.483568,1.728516,2.38416,-0.417228,0.715248,-1.311288,1.847724
-9.1,5.36436,2.145744,2.08614,-0.238416,1.072872,-1.4901,1.668912
-9,5.423964,1.78812,2.503368,-0.417228,0.536436,-1.430496,2.38416
-8.9,5.841192,1.609308,2.324556,-0.059604,0.29802,-1.4901,2.145744
-8.8,6.25842,1.668912,2.622576,0,0.357624,-1.728516,1.549704
-8.7,6.735252,1.668912,2.860992,-0.238416,1.370892,-1.728516,2.324556
-8.6,6.616044,1.728516,2.68218,-0.119208,1.251684,-1.78812,2.562972
-8.5,6.675648,1.430496,2.264952,0.357624,0.536436,-2.08614,2.503368
-8.4,6.616044,1.78812,1.966932,-0.059604,0.655644,-2.324556,2.145744
-8.3,6.198816,1.966932,2.264952,0.119208,0.715248,-2.205348,2.801388
-8.2,6.079608,2.264952,2.443764,0.59604,1.4901,-2.324556,3.039804
-8.1,6.377628,2.264952,2.860992,0.178812,1.19208,-2.622576,2.443764
-8,6.496836,1.549704,2.920596,-0.119208,0.953664,-2.562972,2.622576
-7.9,7.331292,1.728516,2.503368,0,1.072872,-2.324556,2.264952
-7.8,7.569708,2.503368,2.741784,0.655644,1.132476,-2.264952,2.622576
-7.7,7.271688,2.026536,3.099408,0.655644,1.013268,-2.38416,2.920596
-7.6,7.74852,1.847724,2.860992,0.238416,1.132476,-2.205348,2.860992
-7.5,7.688916,2.264952,3.218616,-0.119208,1.251684,-1.907328,2.38416
-7.4,7.4505,2.801388,3.516636,0.178812,0.953664,-2.08614,2.145744
-7.3,8.106144,2.920596,3.695448,-0.119208,1.19208,-2.38416,1.668912
-7.2,7.986936,2.801388,4.17228,-0.29802,1.311288,-2.324556,2.324556
-7.1,7.808124,2.622576,4.410696,0.178812,1.132476,-2.145744,2.801388
-7,8.225352,2.324556,4.291488,0.655644,1.19208,-2.145744,2.68218
-6.9,8.463768,2.801388,4.231884,0,1.78812,-1.78812,2.860992
-6.8,8.463768,2.860992,3.933864,0.238416,1.907328,-1.728516,2.622576
-6.7,8.880996,2.68218,4.529904,1.013268,1.78812,-2.026536,2.920596
-6.6,9.23862,2.9802,4.947132,0.536436,2.026536,-1.78812,3.337824
-6.5,9.477036,2.860992,4.649112,-0.178812,2.860992,-1.728516,2.741784
-6.4,9.357828,2.622576,5.006736,0,2.324556,-2.026536,2.622576
-6.3,9.357828,2.68218,5.543172,0.774852,2.264952,-1.78812,3.457032
-6.2,9.655848,2.68218,5.125944,0.715248,2.622576,-1.370892,3.755052
-6.1,10.13268,2.860992,5.006736,0,2.622576,-1.430496,3.159012
-6,10.609512,3.159012,5.36436,0,2.264952,-1.4901,3.87426
-5.9,10.311492,2.920596,5.423964,0.834456,2.38416,-1.668912,3.57624
-5.8,9.83466,2.9802,5.304756,0.655644,2.622576,-1.311288,3.27822
-5.7,10.251888,3.27822,6.079608,0,2.920596,-1.19208,3.337824
-5.6,10.788324,3.27822,6.139212,0.238416,2.741784,-1.430496,3.87426
-5.5,11.145948,3.159012,5.721984,0.29802,2.860992,-1.132476,4.17228
-5.4,11.443968,2.860992,5.9604,0.238416,2.741784,-0.953664,3.635844
-5.3,11.682384,3.159012,6.25842,0,2.801388,-0.89406,3.933864
-5.2,11.861196,3.397428,6.794856,0.178812,3.099408,-0.476832,4.649112
-5.1,12.040008,3.397428,7.4505,0.059604,3.516636,-0.119208,4.17228
-5,12.695652,3.27822,7.808124,0.178812,3.87426,-0.238416,5.006736
-4.9,12.81486,3.099408,8.463768,0.774852,3.87426,0,4.4703
-4.8,12.81486,3.27822,9.23862,0.834456,3.814656,0.476832,4.231884
-4.7,13.470504,3.755052,10.13268,1.132476,3.457032,1.19208,3.695448
-4.6,13.470504,3.755052,11.682384,1.132476,3.695448,1.847724,4.827924
-4.5,13.768524,3.457032,13.11288,1.549704,3.814656,1.847724,5.602776
-4.4,14.483772,3.993468,14.722188,1.430496,3.218616,2.026536,6.973668
-4.3,15.079812,4.410696,17.165952,1.4901,3.635844,2.08614,8.702184
-4.2,15.556644,4.410696,20.086548,1.430496,3.87426,2.562972,9.000204
-4.1,15.854664,3.755052,23.24556,1.132476,3.993468,2.9802,9.179016
-4,16.331496,3.57624,27.477444,1.370892,4.589508,3.218616,9.953868
-3.9,17.106348,3.397428,33.735864,1.907328,4.649112,3.57624,9.953868
-3.8,17.761992,3.695448,41.842008,3.337824,5.423964,3.635844,10.490304
-3.7,18.298428,3.814656,52.093896,7.212084,5.781588,4.4703,11.205552
-3.6,18.77526,3.397428,64.551132,11.384364,6.079608,5.125944,10.72872
-3.5,20.146152,3.933864,80.4654,13.530108,6.25842,5.06634,11.384364
-3.4,22.113084,3.933864,100.969176,12.695652,6.437232,5.304756,12.338028
-3.3,24.020412,4.291488,126.241272,12.338028,6.25842,5.781588,13.053276
-3.2,25.62972,4.708716,157.712184,13.887732,6.139212,6.55644,13.947336
-3.1,27.000612,5.245152,197.944884,14.662584,6.318024,7.4505,13.828128
-3,29.086752,6.020004,249.263928,15.616248,6.437232,8.04654,14.126148
-2.9,31.053684,6.616044,313.81506,16.450704,7.927332,8.761788,14.901
-2.8,32.543784,7.092876,391.657884,18.060012,8.761788,9.715452,14.960604
-2.7,34.689528,7.867728,480.70626,21.517044,9.357828,11.145948,15.973872
-2.6,37.192896,8.761788,578.695236,24.616452,10.073076,12.159216,17.58318
-2.5,39.33864,9.596244,683.836692,30.338436,10.72872,14.662584,19.66932
-2.4,41.42478,10.490304,796.547856,38.325372,11.62278,17.821596,21.815064
-2.3,42.974484,11.32476,916.530708,47.921616,11.861196,21.099816,24.318432
-2.2,45.89508,13.232088,1041.997128,60.021228,11.9208,25.272096,27.358236
-2.1,49.888548,14.00694,1169.43048,73.670544,13.4109,31.053684,32.245764
-2,53.882016,14.960604,1290.963036,86.008572,14.364564,38.623392,38.802204
