,WT 21504029,R190W 21408046,R594Q 21615057,JLNS 21712024
Time,WT,LQT1_R190W,LQT1_R594Q,Compound JLNS
0,-76.99279785,-73.93188477,-76.77001953,-79.5715332
0.200000003,-76.98059082,-73.92883301,-76.74255371,-79.59594727
0.400000006,-76.9744873,-73.90136719,-76.73034668,-79.56542969
0.6000000238,-76.97143555,-73.91967773,-76.71813965,-79.55932617
0.8000000119,-76.94702148,-73.93493652,-76.7578125,-79.54711914
1,-76.91650391,-73.89831543,-76.75476074,-79.60510254
1.200000048,-76.88293457,-73.89526367,-76.80358887,-79.55627441
1.399999976,-76.8737793,-73.89831543,-76.81274414,-79.56542969
1.600000024,-76.85241699,-73.8861084,-76.83410645,-79.52575684
1.799999952,-76.87988281,-73.87084961,-76.86462402,-79.55627441
2,-76.84020996,-73.85253906,-76.84631348,-79.54406738
2.200000048,-76.84936523,-73.87390137,-76.8371582,-79.5715332
2.400000095,-76.80969238,-73.84643555,-76.88903809,-79.58374023
2.599999905,-76.81884766,-73.828125,-76.84326172,-79.55932617
2.799999952,-76.75476074,-73.81896973,-76.91650391,-79.55932617
3,-76.77001953,-73.82507324,-76.97753906,-79.6295166
3.200000048,-76.73950195,-73.80065918,-76.99279785,-79.62036133
3.400000095,-76.71508789,-73.80065918,-77.02026367,-79.62341309
3.599999905,-76.74560547,-73.76098633,-76.93786621,-79.59594727
3.799999952,-76.73339844,-73.78234863,-76.95007324,-79.62341309
4,-76.7364502,-73.7701416,-76.97753906,-79.63562012
4.199999809,-76.70288086,-73.77319336,-76.94702148,-79.71191406
4.400000095,-76.68457031,-73.76098633,-76.94091797,-79.65698242
4.599999905,-76.6204834,-73.7487793,-76.96228027,-79.6295166
4.800000191,-76.58996582,-73.74267578,-77.00500488,-79.63562012
5,-76.63574219,-73.73962402,-77.03857422,-79.6295166
5.199999809,-76.61132813,-73.7487793,-77.02331543,-79.6661377
5.400000095,-76.59912109,-73.71826172,-77.01416016,-79.64172363
5.599999905,-76.5625,-73.74267578,-77.04772949,-79.57763672
5.800000191,-76.59301758,-73.72131348,-77.02941895,-79.58374023
6,-76.53808594,-73.72741699,-77.12097168,-79.60510254
6.199999809,-76.5045166,-73.73046875,-77.08435059,-79.66308594
6.400000095,-76.53808594,-73.73657227,-77.00195313,-79.61425781
6.599999905,-76.45263672,-73.75488281,-77.02636719,-79.62036133
6.800000191,-76.44348145,-73.72741699,-77.08129883,-79.59594727
7,-76.4831543,-73.72436523,-77.0904541,-79.66003418
7.199999809,-76.45263672,-73.70300293,-77.01721191,-79.71191406
7.400000095,-76.45568848,-73.69689941,-77.00805664,-79.67834473
7.599999905,-76.46179199,-73.67248535,-77.03857422,-79.65698242
7.800000191,-76.42822266,-73.70605469,-77.05078125,-79.66308594
8,-76.40380859,-73.67553711,-77.11791992,-79.72412109
8.199999809,-76.39465332,-73.66333008,-77.14233398,-79.70275879
8.399999619,-76.35192871,-73.66943359,-77.13012695,-79.61425781
8.600000381,-76.3458252,-73.67248535,-77.15759277,-79.6295166
8.800000191,-76.31530762,-73.66638184,-77.15454102,-79.69970703
9,-76.2878418,-73.64807129,-77.12097168,-79.64477539
9.199999809,-76.31835938,-73.66943359,-77.10266113,-79.69665527
9.399999619,-76.26953125,-73.64501953,-77.16674805,-79.64782715
9.600000381,-76.27563477,-73.6541748,-77.11791992,-79.67529297
9.800000191,-76.25427246,-73.64501953,-77.10266113,-79.62341309
10,-76.26342773,-73.64196777,-77.10266113,-79.64477539
10.19999981,-76.27868652,-73.62670898,-77.1484375,-79.67224121
10.39999962,-76.24816895,-73.62670898,-77.14538574,-79.67224121
10.60000038,-76.24511719,-73.59008789,-77.11791992,-79.6295166
10.80000019,-76.27563477,-73.61450195,-77.10876465,-79.67224121
11,-76.22680664,-73.59924316,-77.14233398,-79.64782715
11.19999981,-76.20544434,-73.60839844,-77.11181641,-79.63256836
11.39999962,-76.16577148,-73.60229492,-77.0904541,-79.55322266
11.60000038,-76.18713379,-73.59313965,-77.10571289,-79.50134277
11.80000019,-76.21765137,-73.57177734,-77.0690918,-79.58984375
12,-76.18408203,-73.57177734,-77.05688477,-79.5501709
12.19999981,-76.14440918,-73.62060547,-77.0690918,-79.58984375
12.39999962,-76.16271973,-73.59619141,-77.07214355,-79.63256836
12.60000038,-76.15356445,-73.60229492,-77.03552246,-79.58984375
12.80000019,-76.20849609,-73.59313965,-76.99890137,-79.57763672
13,-76.12304688,-73.55957031,-77.0324707,-79.60510254
13.19999981,-76.17797852,-73.57788086,-76.98974609,-79.56542969
13.39999962,-76.15356445,-73.54736328,-76.95617676,-79.51965332
13.60000038,-76.08642578,-73.58398438,-76.99584961,-79.60510254
13.80000019,-76.08337402,-73.5534668,-76.98059082,-79.58679199
14,-76.10473633,-73.57788086,-76.96533203,-79.56542969
14.19999981,-76.13830566,-73.55041504,-77.02941895,-79.58679199
14.39999962,-76.04370117,-73.53820801,-77.04467773,-79.61120605
14.60000038,-76.11694336,-73.54736328,-76.96533203,-79.58068848
14.80000019,-76.08337402,-73.55041504,-76.91955566,-79.44641113
15,-76.10778809,-73.50769043,-76.953125,-79.46777344
15.19999981,-76.09558105,-73.54736328,-76.96228027,-79.55322266
15.39999962,-76.08947754,-73.54736328,-76.89208984,-79.55322266
15.60000038,-76.0559082,-73.54125977,-76.89208984,-79.57458496
15.80000019,-72.4395752,-70.82519531,-68.98803711,-73.34289551
16,-65.36865234,-66.57409668,-48.70605469,-57.74841309
16.20000076,-61.34338379,-63.79394531,-40.1184082,-51.0345459
16.39999962,-57.44018555,-61.02905273,-34.85412598,-46.85058594
16.60000038,-53.62243652,-58.32519531,-30.46569824,-43.29223633
16.79999924,-49.77722168,-55.6640625,-26.26953125,-39.81628418
17,-45.99304199,-52.98156738,-22.12524414,-36.38305664
17.20000076,-42.22717285,-50.32043457,-18.06335449,-33.03527832
17.39999962,-38.46130371,-47.65014648,-13.89160156,-29.62036133
17.60000038,-34.53979492,-45.01647949,-9.671020508,-26.19934082
17.79999924,-33.7097168,-44.98291016,-12.89978027,-28.6895752
18,-35.15014648,-46.17919922,-27.28271484,-40.00244141
18.20000076,-31.72302246,-46.0144043,-27.5390625,-41.88842773
18.39999962,-20.60852051,-45.78552246,-12.12768555,-40.33203125
18.60000038,18.64013672,-45.4498291,23.50769043,-36.04736328
18.79999924,43.44177246,-45.1385498,41.94030762,-18.71643066
19,48.3795166,-44.75708008,47.76916504,18.75610352
19.20000076,49.80163574,-44.25048828,49.75891113,36.59362793
19.39999962,50.53405762,-43.67370605,50.56762695,42.2088623
19.60000038,51.04675293,-42.97180176,50.93383789,44.52819824
19.79999924,51.4831543,-42.11120605,51.11694336,45.92895508
20,51.87683105,-41.00036621,51.2298584,47.0123291
20.20000076,52.19421387,-39.19067383,51.33056641,47.82409668
20.39999962,52.49938965,-33.84094238,51.39160156,48.51989746
20.60000038,52.68249512,-6.503295898,51.4465332,49.08447266
20.79999924,52.8503418,49.16992188,51.51977539,49.56970215
21,52.99377441,55.71899414,51.51367188,49.97253418
21.20000076,53.16467285,56.12182617,51.51367188,50.28381348
21.39999962,53.23791504,56.2713623,51.4465332,50.52185059
21.60000038,53.27758789,56.34155273,51.39465332,50.70495605
21.79999924,53.32336426,56.39648438,51.33972168,50.88500977
22,53.35388184,56.4239502,51.24511719,51.06811523
22.20000076,53.35998535,56.46362305,51.24206543,51.19018555
22.39999962,53.34472656,56.4666748,51.22375488,51.29089355
22.60000038,53.33862305,56.43615723,51.13830566,51.3458252
22.79999924,53.28674316,56.45446777,51.04370117,51.3885498
23,53.24401855,56.42089844,50.97045898,51.40380859
23.20000076,53.19519043,56.33850098,50.97045898,51.46484375
23.39999962,53.15246582,56.30187988,50.88500977,51.52282715
23.60000038,53.11584473,56.22558594,50.86975098,51.58081055
23.79999924,53.00598145,56.17980957,50.79040527,51.6204834
24,52.89001465,56.08215332,50.7232666,51.69067383
24.20000076,52.81066895,56.02416992,50.65307617,51.70898438
24.39999962,52.74963379,55.88684082,50.60119629,51.68762207
24.60000038,52.68859863,55.79223633,50.54931641,51.68457031
24.79999924,52.5970459,55.68237305,50.53710938,51.6784668
25,52.5390625,55.60913086,50.48828125,51.61437988
25.20000076,52.39257813,55.49316406,50.41809082,51.61437988
25.39999962,52.26135254,55.40161133,50.28991699,51.54418945
25.60000038,52.16064453,55.33752441,50.27160645,51.48620605
25.79999924,52.07519531,55.20019531,50.22277832,51.44348145
26,51.96533203,55.09338379,50.04882813,51.39770508
26.20000076,51.82495117,54.9407959,50.01831055,51.31225586
26.39999962,51.79443359,54.83703613,49.96948242,51.20239258
26.60000038,51.66320801,54.71801758,49.92980957,51.1505127
26.79999924,51.58691406,54.61425781,49.81384277,51.08947754
27,51.51062012,54.48303223,49.78637695,51.12609863
27.20000076,51.3671875,54.35791016,49.72229004,51.04064941
27.39999962,51.29699707,54.26635742,49.75280762,50.96130371
27.60000038,51.21765137,54.10766602,49.75891113,50.8605957
27.79999924,51.13220215,54.01306152,49.66125488,50.77514648
28,51.05285645,53.86657715,49.61242676,50.74768066
28.20000076,50.97351074,53.75671387,49.56665039,50.65307617
28.39999962,50.8605957,53.60412598,49.54223633,50.52490234
28.60000038,50.7598877,53.515625,49.45678711,50.47912598
28.79999924,50.69274902,53.41796875,49.37438965,50.44250488
29,50.61035156,53.30200195,49.35913086,50.4699707
29.20000076,50.53405762,53.18603516,49.25842285,50.4119873
29.39999962,50.46691895,53.04260254,49.21569824,50.32958984
29.60000038,50.46691895,52.93273926,49.14245605,50.25024414
29.79999924,50.39367676,52.78930664,49.1607666,50.1739502
30,50.2746582,52.64892578,49.0814209,50.11901855
30.20000076,50.21972656,52.55737305,49.0234375,50.06408691
30.39999962,50.09460449,52.46582031,48.91357422,50.02441406
30.60000038,50.09155273,52.34375,48.89526367,49.9206543
30.79999924,50.01220703,52.18200684,48.83728027,49.78027344
31,49.86572266,52.08740234,48.73962402,49.78637695
31.20000076,49.83825684,51.95007324,48.75793457,49.76196289
31.39999962,49.83520508,51.85241699,48.73352051,49.77111816
31.60000038,49.76196289,51.73950195,48.73962402,49.73144531
31.79999924,49.65515137,51.61743164,48.67553711,49.6887207
32,49.57580566,51.51672363,48.62670898,49.57885742
32.20000076,49.54528809,51.37939453,48.56872559,49.57275391
32.40000153,49.43237305,51.24206543,48.56567383,49.54833984
32.59999847,49.35913086,51.14135742,48.45581055,49.51477051
32.79999924,49.29504395,51.00708008,48.38256836,49.47509766
33,49.24621582,50.92468262,48.38256836,49.48120117
33.20000076,49.16687012,50.79650879,48.34594727,49.52087402
33.40000153,49.09362793,50.70495605,48.30322266,49.45068359
33.59999847,49.01733398,50.59204102,48.33679199,49.3927002
33.79999924,48.96240234,50.51574707,48.28186035,49.38354492
34,48.94714355,50.39672852,48.26049805,49.32556152
34.20000076,48.89221191,50.28381348,48.23608398,49.33166504
