,21728047
Time,Voltage
0,-84.59777832
0.203125,-84.57336426
0.40625,-84.62219238
0.6015625,-84.59472656
0.8046875,-84.61608887
1,-84.63745117
1.203125,-84.62524414
1.40625,-84.62524414
1.6015625,-84.61608887
1.8046875,-84.62219238
2,-84.5489502
2.203125,-84.58557129
2.40625,-84.63134766
2.6015625,-84.62219238
2.8046875,-84.65270996
3,-84.62219238
3.203125,-84.67102051
3.40625,-84.6282959
3.6015625,-84.60083008
3.8046875,-84.56420898
4,-84.61303711
4.203125,-84.61303711
4.40625,-84.51843262
4.6015625,-84.63439941
4.8046875,-84.59777832
5,-84.54589844
5.203125,-84.57336426
5.40625,-84.60998535
5.6015625,-84.62219238
5.8046875,-84.62219238
6,-84.59472656
6.203125,-84.60083008
6.40625,-84.60083008
6.6015625,-84.52453613
6.8046875,-84.58862305
7,-84.62524414
7.203125,-84.66186523
7.40625,-84.61608887
7.6015625,-84.63439941
7.8046875,-84.55505371
8,-84.50012207
8.203125,-84.48486328
8.40625,-84.54284668
8.6015625,-84.55200195
8.8046875,-84.51538086
9,-84.44824219
9.203125,-84.46350098
9.40625,-84.57336426
9.6015625,-84.50012207
9.8046875,-84.44824219
10,-84.48181152
10.203125,-84.47875977
10.40625,-84.48181152
10.6015625,-84.41162109
10.8046875,-84.51843262
11,-84.47875977
11.203125,-84.46655273
11.40625,-84.46655273
11.6015625,-84.40551758
11.8046875,-84.43908691
12,-84.44824219
12.203125,-84.43908691
12.40625,-84.44519043
12.6015625,-84.46044922
12.8046875,-84.46960449
13,-84.50317383
13.203125,-84.46044922
13.40625,-84.4329834
13.6015625,-84.42993164
13.8046875,-84.40856934
14,-84.4329834
14.203125,-84.41162109
14.40625,-84.40856934
14.6015625,-84.42687988
14.8046875,-84.45129395
15,-84.53674316
15.203125,-84.44519043
15.40625,-84.46044922
15.6015625,-84.46350098
15.8046875,-84.51843262
16,-84.54589844
16.203125,-84.4543457
16.40625,-84.43908691
16.6015625,-84.50622559
16.8046875,-84.45129395
17,-84.46960449
17.203125,-84.44824219
17.40625,-84.40856934
17.6015625,-84.47570801
17.8046875,-84.51538086
18,-84.49707031
18.203125,-84.48181152
18.40625,-84.53063965
18.6015625,-84.47875977
18.8046875,-84.46655273
19,-84.43908691
19.203125,-84.45129395
19.40625,-84.51538086
19.6015625,-84.5123291
19.8046875,-84.47265625
20,-84.5123291
20.203125,-84.51538086
20.40625,-84.5123291
20.6015625,-84.53063965
20.8046875,-84.46960449
21,-84.50622559
21.203125,-84.47570801
21.40625,-84.47570801
21.6015625,-84.52453613
21.8046875,-84.51843262
22,-84.56115723
22.203125,-84.54589844
22.40625,-84.51538086
22.6015625,-84.54284668
22.8046875,-84.56115723
23,-84.55810547
23.203125,-84.52148438
23.40625,-84.57336426
23.6015625,-84.51538086
23.8046875,-84.46350098
24,-84.45129395
24.203125,-84.47875977
24.40625,-84.48181152
24.6015625,-84.50622559
24.8046875,-84.54589844
25,-84.53369141
25.203125,-84.53063965
25.40625,-84.54589844
25.6015625,-84.56420898
25.8046875,-84.57641602
26,-84.57336426
26.203125,-84.49401855
26.40625,-84.50927734
26.6015625,-84.50012207
26.8046875,-84.59472656
27,-84.58251953
27.203125,-84.50622559
27.40625,-84.46044922
27.6015625,-84.43908691
27.8046875,-84.45739746
28,-84.42687988
28.203125,-84.42993164
28.40625,-84.44519043
28.6015625,-84.44213867
28.8046875,-84.50927734
29,-84.53369141
29.203125,-84.49401855
29.40625,-84.42382813
29.6015625,-84.41467285
29.8046875,-84.47875977
30,-84.41162109
30.203125,-84.41772461
30.40625,-84.39331055
30.6015625,-84.41467285
30.8046875,-84.40856934
31,-84.34143066
31.203125,-84.38415527
31.40625,-84.36889648
31.6015625,-84.34448242
31.8046875,-84.36279297
32,-84.33837891
32.203125,-84.31091309
32.40625,-84.34753418
32.6015625,-84.27734375
32.8046875,-84.30786133
33,-84.39331055
33.203125,-84.32617188
33.40625,-84.27429199
33.6015625,-84.30480957
33.8046875,-84.375
34,-84.36889648
34.203125,-84.29260254
34.40625,-84.24682617
34.6015625,-84.28344727
34.8046875,-84.33227539
35,-84.40856934
35.203125,-84.35974121
35.40625,-84.33532715
35.6015625,-84.32617188
35.8046875,-84.38110352
36,-84.37194824
36.203125,-84.34753418
36.40625,-84.36279297
36.6015625,-84.34753418
36.8046875,-84.30480957
37,-84.33227539
37.203125,-84.32006836
37.40625,-84.37194824
37.6015625,-84.33532715
37.8046875,-84.33837891
38,-84.36889648
38.203125,-84.39025879
38.40625,-84.41467285
38.6015625,-84.41162109
38.8046875,-84.39025879
39,-84.36584473
39.203125,-84.37805176
39.40625,-84.35668945
39.6015625,-84.3963623
39.8046875,-84.41162109
40,-84.43908691
40.203125,-84.40246582
40.40625,-84.36584473
40.6015625,-84.32617188
40.8046875,-84.3963623
41,-84.38110352
41.203125,-84.40246582
41.40625,-84.36889648
41.6015625,-84.36889648
41.8046875,-84.32922363
42,-84.38720703
42.203125,-84.41772461
42.40625,-84.42993164
42.6015625,-84.39941406
42.8046875,-84.36584473
43,-84.35974121
43.203125,-84.39331055
43.40625,-84.35058594
43.6015625,-84.36279297
43.8046875,-84.34448242
44,-84.3963623
44.203125,-84.45739746
44.40625,-84.38720703
44.6015625,-84.41467285
44.8046875,-84.45739746
45,-84.46350098
45.203125,-84.44519043
45.40625,-84.41772461
45.6015625,-84.36584473
45.8046875,-84.3963623
46,-84.40856934
46.203125,-84.42382813
46.40625,-84.40551758
46.6015625,-84.4329834
46.8046875,-84.41467285
47,-84.38415527
47.203125,-84.40856934
47.40625,-84.41162109
47.6015625,-84.36584473
47.8046875,-84.3170166
48,-84.33227539
48.203125,-84.36889648
48.40625,-84.34753418
48.6015625,-84.41772461
48.8046875,-84.32617188
49,-84.31091309
49.203125,-84.375
49.40625,-84.35974121
49.6015625,-84.3170166
49.8046875,-84.28955078
50,-84.27124023
50.203125,-84.36279297
50.40625,-84.44213867
50.6015625,-84.32312012
50.8046875,-84.28344727
51,-84.30480957
51.203125,-84.28955078
51.40625,-84.31091309
51.6015625,-84.32006836
51.8046875,-84.24987793
52,-84.27429199
52.203125,-84.30786133
52.40625,-84.30480957
52.6015625,-84.30786133
52.8046875,-84.25292969
53,-84.28955078
53.203125,-84.34448242
53.40625,-84.29260254
53.6015625,-84.24682617
53.8046875,-84.29870605
54,-84.2376709
54.203125,-84.2010498
54.40625,-84.22546387
54.6015625,-84.17663574
54.8046875,-84.27429199
55,-84.3963623
55.203125,-84.3536377
55.40625,-84.35058594
55.6015625,-84.34448242
55.8046875,-84.32006836
56,-84.24377441
56.203125,-84.24072266
56.40625,-84.26818848
56.6015625,-84.27429199
56.8046875,-84.24987793
57,-84.26208496
57.203125,-84.29260254
57.40625,-84.28649902
57.6015625,-84.23461914
57.8046875,-84.31396484
58,-84.27429199
58.203125,-84.30786133
58.40625,-84.3536377
58.6015625,-84.30786133
58.8046875,-84.38720703
59,-84.37194824
59.203125,-84.35974121
59.40625,-84.36889648
59.6015625,-84.41772461
59.8046875,-84.3536377
60,-84.28344727
60.203125,-84.2956543
60.40625,-84.30480957
60.6015625,-84.31396484
60.8046875,-84.39331055
61,-84.40246582
61.203125,-84.37805176
61.40625,-84.36889648
61.6015625,-84.42993164
61.8046875,-84.32617188
62,-84.35668945
62.203125,-84.37194824
62.40625,-84.38415527
62.6015625,-84.35058594
62.8046875,-84.34143066
63,-84.37805176
63.203125,-84.37805176
63.40625,-84.36584473
63.6015625,-84.35974121
63.8046875,-84.35058594
64,-84.38415527
64.203125,-84.37805176
64.40625,-84.3963623
64.6015625,-84.42993164
64.8046875,-84.43908691
65,-84.39941406
65.203125,-84.34143066
65.40625,-84.34448242
65.6015625,-84.33532715
65.8046875,-84.30175781
66,-84.25292969
66.203125,-84.27429199
66.40625,-84.3170166
66.6015625,-84.33227539
66.8046875,-84.40551758
67,-84.34753418
67.203125,-84.29870605
67.40625,-84.24987793
67.6015625,-84.31396484
67.8046875,-84.27429199
68,-84.27124023
68.203125,-84.2376709
68.40625,-84.18884277
68.6015625,-84.27734375
68.8046875,-84.28649902
69,-84.22851563
69.203125,-84.25598145
69.40625,-84.29870605
69.6015625,-84.32922363
69.8046875,-84.24072266
70,-84.26208496
70.203125,-84.23156738
70.40625,-84.22851563
70.6015625,-84.27124023
70.8046875,-84.24072266
71,-84.24072266
71.203125,-84.26208496
71.40625,-84.22241211
71.6015625,-84.25292969
71.8046875,-84.30175781
72,-84.29260254
72.203125,-84.28649902
72.40625,-84.20715332
72.6015625,-84.25292969
72.8046875,-84.24682617
73,-84.22241211
73.203125,-84.14306641
73.40625,-84.2590332
73.6015625,-84.27124023
73.8046875,-84.27429199
74,-84.2010498
74.203125,-84.15527344
74.40625,-84.16137695
74.6015625,-84.16442871
74.8046875,-84.18273926
75,-84.26208496
75.203125,-84.24682617
75.40625,-84.19799805
75.6015625,-84.22851563
75.8046875,-84.24377441
76,-84.19494629
